SUBST�NCIA;PF 17% ALC;PF 17;TIPO DE PRODUTO;COMERCIALIZA��O 2019
DICLORIDRATO DE TRIMETAZIDINA;27,16;27,16;Genérico;Não
ESOMEPRAZOL MAGNÉSICO;261,49;261,49;Similar;Sim
HEMITARTARATO DE ZOLPIDEM;85,93;85,93;Novo;Não
BROMIDRATO DE CITALOPRAM;17,54;17,54;Similar;Não
HEMIFUMARATO DE BISOPROLOL;205,18;205,18;Similar;Sim
"MALEATO DE CLORFENIRAMINA;PARACETAMOL;CLORIDRATO DE FENILEFRINA";31,33;35,98;Similar;Sim
CLORIDRATO DE CINACALCETE;638,80;733,81;Similar;Sim
CITRATO DE ORFENADRINA;6,88;7,91;Similar;Sim
GLIBENCLAMIDA;16,23;16,23;Genérico;Sim
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;68,40;68,40;Similar;Não
CLORIDRATO DE DONEPEZILA;496,24;496,24;Novo;Sim
ÁCIDO FÓLICO;12,53;14,40;Específico;Não
CINCHONA CALISAYA WEDD.;17,78;20,43;Fitoterápico;Não
SEVOFLURANO;1531,55;1531,55;Genérico;Sim
NITRATO DE FENTICONAZOL;26,83;30,82;Similar;Não
DOMPERIDONA;24,89;28,59;Similar;Sim
CETOPROFENO;86,12;86,12;Similar;Não
"SINVASTATINA;EZETIMIBA";668,54;668,54;Genérico;Não
ALFACALCIDOL;73,88;73,88;Similar;Não
ROSUVASTATINA CÁLCICA;71,72;71,72;Similar;Sim
MALEATO DE TRIMEBUTINA;101,52;116,62;Similar;Não
CLORIDRATO DE AMBROXOL;13,69;15,73;Genérico;Não
HIDRÓXIDO DE ALUMÍNIO;61,46;70,60;Específico;Não
PREGABALINA;188,60;188,60;Genérico;Não
LORATADINA;7,70;8,85;Similar;Sim
"HIDROCLOROTIAZIDA;CANDESARTANA CILEXETILA";47,22;47,22;Genérico;Não
OXALATO DE ESCITALOPRAM;16,25;16,25;Genérico;Não
PANTOPRAZOL;55,47;55,47;Genérico;Não
INSULINA HUMANA;50,46;50,46;Biológico;Sim
DIPIRONA MONOIDRATADA;2,72;3,02;Genérico;Não
GADODIAMIDA;208,54;208,54;Novo;Sim
"CARBONATO DE CÁLCIO;CARBONATO BÁSICO DE BISMUTO;BICARBONATO DE SÓDIO;CARBONATO DE MAGNÉSIO";21,50;24,70;Específico;Não
RIVAROXABANA;208,19;208,19;Similar;Não
"NICOTINAMIDA;BITARTARATO DE COLINA;PALMITATO DE RETINOL;PANAX GINSENG C. A. MEY.;SULFATO FERROSO;ACETATO DE TOCOFEROL;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;TIAMINA;INOSITOL;FOSFATO DE CÁLCIO DIBÁSICO;ADENOSINA;LEVOMETIONINA;ÁCIDO FÓLICO;PANTOTENATO DE CALCIO;BIOTINA";91,88;105,54;Específico;Não
ACETATO DE OCTREOTIDA;7765,87;7765,87;Novo;Não
CEFALEXINA MONOIDRATADA;202,51;202,51;Genérico;Não
CITRATO DE SILDENAFILA;93,52;107,43;Genérico;Sim
"FOSFATO DE CÁLCIO DIBÁSICO DI-HIDRATADO;LACTATO DE CÁLCIO;SULFATO DE ZINCO MONOIDRATADO;COLECALCIFEROL;CIANOCOBALAMINA";17,94;20,61;Específico;Sim
PARACETAMOL;11,11;12,77;Genérico;Não
SELEXIPAGUE;8655,61;9942,99;Novo;Não
NITRATO DE OXICONAZOL;13,89;15,95;Genérico;Sim
CLORIDRATO DE LOPERAMIDA;6,00;6,90;Novo;Sim
CLORIDRATO DE HIDROXIZINA;17,75;20,39;Genérico;Sim
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;95,37;95,37;Genérico;Sim
"PROPIONATO DE FLUTICASONA;FUMARATO DE FORMOTEROL DI-HIDRATADO";93,47;107,37;Novo;Sim
CLORETO DE SÓDIO;158,71;158,71;Específico;Não
DICLORIDRATO DE TRIMETAZIDINA;27,16;27,16;Genérico;Não
"CLORETO DE POTÁSSIO;CLORETO DE SÓDIO;CLORETO DE CÁLCIO DIIDRATADO";6,71;6,71;Específico;Não
CITALOPRAM;88,73;88,73;Genérico;Não
SACCHAROMYCES BOULARDII;27,15;31,19;Biológico;Não
"DEXAMETASONA;TOBRAMICINA";29,13;29,13;Similar;Não
CLORIDRATO DE BUPROPIONA;35,87;35,87;Similar;Não
NITAZOXANIDA;55,00;63,18;Similar;Sim
DIPIRONA MONOIDRATADA;7,09;8,14;Genérico;Sim
SIMETICONA;7,53;8,65;Genérico;Sim
ATORVASTATINA CÁLCICA;290,69;290,69;Similar;Sim
LAMOTRIGINA;48,92;48,92;Genérico;Não
CLORIDRATO DE VENLAFAXINA;111,87;111,87;Genérico;Sim
"PARACETAMOL;FOSFATO DE CODEÍNA";25,83;29,67;Genérico;Sim
"CLORIDRATO DE CIPROFLOXACINO MONOIDRATADO;CIPROFLOXACINO";30,37;30,37;Genérico;Não
"BENZOATO DE ALOGLIPTINA;CLORIDRATO DE PIOGLITAZONA";155,42;178,54;Novo;Sim
SOFOSBUVIR;62158,32;71403,33;Novo;Sim
RISPERIDONA;171,77;171,77;Genérico;Não
SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;31,95;31,95;Similar;Não
RISPERIDONA;20,96;20,96;Similar;Não
ACICLOVIR;57,06;57,06;Genérico;Sim
FLUCONAZOL;39,59;39,59;Similar;Sim
CLORIDRATO DE VENLAFAXINA;248,20;248,20;Genérico;Não
MANITOL;421,14;421,14;Específico;Sim
"PARACETAMOL;FOSFATO DE CODEÍNA";107,47;123,45;Genérico;Não
RISPERIDONA;30,95;30,95;Similar;Sim
CIMETIDINA;9,27;9,27;Genérico;Sim
OXALATO DE ESCITALOPRAM;267,24;267,24;Genérico;Sim
CLORIDRATO DE EPIRRUBICINA;272,29;272,29;Genérico;Sim
ACETATO DE MEDROXIPROGESTERONA;33,58;33,58;Similar;Sim
CELECOXIBE;42,52;42,52;Novo;Sim
ACICLOVIR;15,60;17,92;Genérico;Sim
LEVOTIROXINA SÓDICA;20,58;20,58;Novo;Sim
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";90,45;90,45;Similar;Sim
LACTULOSE;30,07;34,54;Similar;Sim
DICLORIDRATO DE PRAMIPEXOL;54,95;54,95;Genérico;Sim
CETOROLACO TROMETAMINA;37,40;37,40;Similar;Não
LEVOFLOXACINO HEMI-HIDRATADO;66,40;66,40;Similar;Sim
CEFALEXINA MONOIDRATADA;67,51;67,51;Genérico;Não
MARAVIROQUE;2560,48;2560,48;Novo;Não
"HIDROCLOROTIAZIDA;OLMESARTANA MEDOXOMILA";15,30;15,30;Similar;Não
CEFADROXILA;45,48;45,48;Genérico;Não
MALEATO DE ENALAPRIL;19,98;19,98;Genérico;Sim
PALMITATO DE PALIPERIDONA;2505,58;2878,25;Novo;Sim
FLUNITRAZEPAM;11,41;11,41;Novo;Não
CLORIDRATO DE PAROXETINA;142,49;142,49;Genérico;Não
DIPIRONA;6,56;7,54;Similar;Sim
CLORIDRATO DE FEXOFENADINA;45,84;52,65;Similar;Não
DIPROPIONATO DE BECLOMETASONA;57,66;57,66;Novo;Sim
AMINOFILINA;4,18;4,18;Genérico;Não
CETOROLACO TROMETAMINA;76,64;76,64;Similar;Não
CLORIDRATO DE AMITRIPTILINA;13,33;13,33;Genérico;Sim
CLORIDRATO DE AMITRIPTILINA;16,11;16,11;Genérico;Não
CLORIDRATO DE MEMANTINA;70,14;70,14;Similar;Sim
BESILATO DE LEVANLODIPINO;75,23;86,41;Similar;Não
MESILATO DE DOXAZOSINA;35,66;35,66;Genérico;Não
ROSUVASTATINA CÁLCICA;40,67;40,67;Genérico;Sim
OMEPRAZOL;154,96;154,96;Similar;Sim
CARBOPLATINA;652,57;652,57;Similar;Não
CITRATO DE SUFENTANILA;46,46;46,46;Novo;Não
ACETONIDA DE TRIANCINOLONA;40,41;40,41;Similar;Sim
CLORIDRATO DE AMBROXOL;14,47;16,62;Genérico;Não
BESILATO DE ANLODIPINO;506,13;506,13;Similar;Sim
CARBOCISTEÍNA;16,35;18,78;Similar;Não
FLUCONAZOL;56,78;56,78;Similar;Sim
"CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO";156,24;156,24;Específico;Sim
"DESOXIMETASONA;SULFATO DE NEOMICINA";28,65;28,65;Novo;Sim
OMEPRAZOL;79,25;79,25;Similar;Sim
HIDROXICARBAMIDA;202,83;202,83;Novo;Sim
PERICIAZINA;15,25;15,25;Novo;Não
"MESILATO DE DOXAZOSINA;FINASTERIDA";154,14;177,07;Similar;Sim
ACETATO DE LEUPRORRELINA;562,28;562,28;Similar;Sim
ACICLOVIR;174,51;174,51;Genérico;Não
LISADOS BACTERIANOS (STAPHYLOCOCCUS AUREUS, STREPTOCOCCUS PYOGENES, STREPTOCOCCUS MITIS, STREPTOCOCCUS PNEUMONIAE,KLEBSIELLA PNEUMONIAE, BRANHAMELLA CATARRHALIS, HAEMOPHILUS INFLUENZAE);58,96;58,96;Biológico;Sim
ACETATO DE ABIRATERONA;10029,00;11520,64;Novo;Sim
CLORIDRATO DE VENLAFAXINA;67,40;67,40;Similar;Sim
INSULINA HUMANA;179,64;179,64;Biológico;Não
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";42,88;42,88;Similar;Sim
GABAPENTINA;81,75;81,75;Genérico;Sim
"FATOR VIII DE COAGULAÇÃO;FATOR DE VON WILLEBRAND";2673,61;3071,27;Biológico;Não
CLARITROMICINA;42,25;42,25;Genérico;Não
"ETINILESTRADIOL;DROSPIRENONA";118,11;118,11;Genérico;Sim
CILOSTAZOL;13,17;13,17;Similar;Sim
BICARBONATO DE SÓDIO;1526,76;1526,76;Específico;Não
"PERINDOPRIL ARGININA;BESILATO DE ANLODIPINO";14,59;16,76;Novo;Sim
IDARUCIZUMABE;9166,47;10178,20;Biológico;Sim
CLORIDRATO DE VENLAFAXINA;161,48;161,48;Similar;Sim
HIDROCLOROTIAZIDA;8,08;8,08;Genérico;Sim
"VALSARTANA;HIDROCLOROTIAZIDA";33,10;33,10;Similar;Não
METRONIDAZOL;323,11;323,11;Genérico;Não
ALFARURIOCTOCOGUE PEGOL;1145,69;1145,69;Biológico;Não
ÁCIDO FÓLICO;24,47;28,11;Específico;Não
TACROLIMO;1058,34;1058,34;Genérico;Sim
HIDROCLOROTIAZIDA;5,31;5,31;Genérico;Sim
PROMETAZINA;11,85;13,62;Novo;Sim
CLORIDRATO DE RANITIDINA;29,34;29,34;Genérico;Sim
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";102,95;102,95;Genérico;Sim
SIMETICONA;8,65;9,94;Similar;Sim
CETOPROFENO;27,99;27,99;Genérico;Sim
BROMIDRATO DE DARIFENACINA;44,66;51,31;Similar;Não
IMUNOGLOBULINA HUMANA ;287,28;287,28;Biológico;Não
"HESPERIDINA;DIOSMINA";63,19;72,59;Específico;Não
"METENAMINA;CLORETO DE METILTIONÍNIO;CLORIDRATO DE ACRIFLAVINA";14,33;16,46;Similar;Sim
PREGABALINA;72,73;72,73;Similar;Não
SULFATO DE BÁRIO;151,14;151,14;Similar;Sim
CLORIDRATO DE TAPENTADOL;118,74;136,40;Novo;Não
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;144,71;144,71;Genérico;Sim
"ESOMEPRAZOL;CLARITROMICINA;AMOXICILINA TRI-HIDRATADA";260,25;298,96;Novo;Não
BROMIDRATO DE GALANTAMINA;106,14;106,14;Similar;Não
CIPROFLOXACINO;7223,85;7223,85;Genérico;Não
ITRACONAZOL;86,59;86,59;Genérico;Não
ESOMEPRAZOL MAGNÉSICO;131,84;131,84;Novo;Sim
SULFATO DE MORFINA;229,90;229,90;Genérico;Não
CITRATO DE TAMOXIFENO;24,39;24,39;Genérico;Não
SOMATROPINA;1373,20;1373,20;Biológico;Sim
CLONAZEPAM;2005,36;2005,36;Genérico;Sim
PROPOFOL;88,22;88,22;Similar;Sim
OXALATO DE ESCITALOPRAM;65,10;65,10;Genérico;Não
DIPIRONA;2,96;3,40;Similar;Sim
CENTELLA ASIATICA (L.) URB.;29,65;34,06;Fitoterápico;Não
CETOROLACO TROMETAMINA;31,20;31,20;Similar;Sim
SUCCINATO DE DESVENLAFAXINA MONOIDRATADO;138,04;138,04;Similar;Sim
EXEMESTANO;1592,41;1592,41;Genérico;Não
OLANZAPINA;47,20;47,20;Similar;Não
CLORIDRATO DE RANITIDINA;29,33;29,33;Genérico;Não
DESLORATADINA;68,07;78,20;Genérico;Sim
TENOXICAM;18,04;18,04;Similar;Sim
"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";8,07;9,27;Similar;Não
ALFAMOROCTOCOGUE;1479,28;1479,28;Biológico;Não
CLORETO DE SÓDIO;6,07;6,07;Específico;Sim
ÁGUA PARA INJETÁVEIS;124,73;124,73;Similar;Sim
ÁCIDO ACETILSALICÍLICO;11,42;13,12;Similar;Não
LAMOTRIGINA;35,73;35,73;Similar;Não
ALFAPEGINTERFERONA 2B;;;Biológicos;Não
FLUCONAZOL;7,88;7,88;Similar;Sim
SUCCINATO SÓDICO DE METILPREDNISOLONA;9,90;9,90;Novo;Sim
CITRATO DE CAFEÍNA;16,43;18,87;Similar;Sim
PRUCALOPRIDA;93,66;107,59;Novo;Sim
"CLORETO DE CÁLCIO;CLORETO DE POTÁSSIO;GLICOSE;CLORETO DE SÓDIO;ÁCIDO ACÉTICO;CLORETO DE MAGNÉSIO";;;Similar;Sim
"BROMETO DE GLICOPIRRÔNIO;MALEATO DE INDACATEROL";184,46;211,89;Novo;Sim
HEMIFUMARATO DE QUETIAPINA;552,45;552,45;Similar;Não
VACINA SARAMPO, CAXUMBA, RUBÉOLA E VARICELA (ATENUADA);188,82;188,82;Biológico;Não
ETODOLACO;35,40;35,40;Novo;Sim
VITIS VINIFERA L.;51,17;58,78;Fitoterápico;Não
DOMPERIDONA;21,58;24,79;Genérico;Sim
"MESILATO DE DOXAZOSINA;FINASTERIDA";80,41;92,37;Similar;Sim
RIVAROXABANA;728,67;728,67;Novo;Não
TIBOLONA;32,71;32,71;Similar;Não
"CLAVULANATO DE POTÁSSIO;AMOXICILINA TRI-HIDRATADA";88,07;88,07;Similar;Sim
CLORIDRATO DE METFORMINA;19,93;19,93;Genérico;Não
CEFTRIAXONA SÓDICA;113,89;113,89;Genérico;Sim
CLORIDRATO DE TIZANIDINA;22,04;25,32;Genérico;Sim
AGOMELATINA;22,67;26,04;Genérico;Não
PREDNISOLONA;56,90;56,90;Genérico;Não
GUAIFENESINA;14,03;16,11;Similar;Não
APREMILASTE;3009,52;3457,13;Novo;Não
DIVALPROATO DE SÓDIO;76,98;76,98;Similar;Não
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";28,89;28,89;Similar;Sim
SULFATO DE MAGNÉSIO;1,06;1,22;Novo;Sim
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";44,20;44,20;Genérico;Não
ALFAEPOETINA;39,80;39,80;Novo;Não
AGOMELATINA;48,59;55,82;Genérico;Não
CLORIDRATO DE DONEPEZILA;377,92;377,92;Similar;Sim
CLORIDRATO DE PROPRANOLOL;6,76;6,76;Similar;Sim
NITROPRUSSETO DE SÓDIO;26,45;26,45;Similar;Sim
LAMOTRIGINA;2296,17;2296,17;Genérico;Não
HEMIFUMARATO DE BISOPROLOL;18,47;18,47;Similar;Não
ENOXAPARINA SÓDICA;136,13;136,13;Biológico;Sim
BESILATO DE ANLODIPINO;21,94;21,94;Similar;Não
CLORIDRATO DE SERTRALINA;1573,02;1573,02;Similar;Não
SIMETICONA;9,89;11,36;Genérico;Não
HEMIFUMARATO DE QUETIAPINA;185,04;185,04;Similar;Sim
RILUZOL;1311,70;1311,70;Genérico;Não
CLORIDRATO DE DEXMEDETOMIDINA;557,94;557,94;Genérico;Não
PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;18,63;18,63;Similar;Não
"SINVASTATINA;EZETIMIBA";878,31;878,31;Genérico;Não
"CLIOQUINOL;SULFATO DE GENTAMICINA;TOLNAFTATO;VALERATO DE BETAMETASONA";16,38;18,82;Genérico;Sim
ATORVASTATINA CÁLCICA;53,73;53,73;Novo;Não
URÉIA;44,84;51,51;Similar;Sim
"LEVONORGESTREL;ETINILESTRADIOL";19,92;19,92;Novo;Sim
ETINILESTRADIOL;46,47;46,47;Similar;Sim
PRIMIDONA;50,24;50,24;Similar;Sim
CITRATO DE FENTANILA;266,70;266,70;Genérico;Sim
CLORETO DE SÓDIO;106,92;106,92;Similar;Sim
CLORIDRATO DE CICLOBENZAPRINA;12,64;14,52;Similar;Sim
NORFLOXACINO;21,19;21,19;Genérico;Sim
"PARACETAMOL;CAFEÍNA ANIDRA";13,01;14,94;Genérico;Sim
